,Champion,Tags,Key,Image,Lore,Ally Tips,Enemy Tips
Soraka,Soraka,"['Support', 'Mage']",16,"{'full': 'Soraka.png', 'sprite': 'champion3.png', 'group': 'champion', 'x': 48, 'y': 96, 'w': 48, 'h': 48}","A wanderer from the celestial dimensions beyond Mount Targon, Soraka gave up her immortality to protect the mortal races from their own more violent instincts. She endeavors to spread the virtues of compassion and mercy to everyone she meets—even healing those who would wish harm upon her. And, for all Soraka has seen of this world's struggles, she still believes the people of Runeterra have yet to reach their full potential.","['Soraka is a powerful ally in battle, using her strong healing to keep the party moving forward.', 'You can use Wish on your allies from across the map to save them from otherwise fatal events.', 'Equinox can be used as a powerful zoning tool to keep enemies at bay.']","['Focus on attacking Soraka when she ever ventures to the frontline to heal her allies.', ""Take advantage of Soraka's long cooldown on Equinox if she uses it to harass."", ""It's easier to focus Soraka than the ally she is healing.""]"
Lucian,Lucian,['Marksman'],236,"{'full': 'Lucian.png', 'sprite': 'champion2.png', 'group': 'champion', 'x': 288, 'y': 0, 'w': 48, 'h': 48}","Lucian, a Sentinel of Light, is a grim hunter of undying spirits, pursuing them relentlessly and annihilating them with his twin relic pistols. After the wraith Thresh slew his wife, Lucian embarked on the path of vengeance—but even with her return to life, his rage is undiminished. Merciless and single-minded, Lucian will stop at nothing to protect the living from the long-dead horrors of the Black Mist.","['For optimal burst, try to combine Relentless Pursuit into Piercing Light.', 'Ardent Blaze actually explodes in a star pattern. Try to line it up so the spokes hit enemy champions.', 'Once you have chosen an angle for The Culling, you cannot change it. Pick your moment well!', 'Because of Lightslinger, Lucian benefits more from Attack Damage than he does from Attack Speed.']","['Lucian has strong burst, but little sustained damage.', 'Lucian cannot change the aim of The Culling. Take advantage of this by avoiding the angle of the bullets.', 'Piercing Light does not give Lucian extra Attack Range. He still needs to find a target in range to line up his shot. Avoid Piercing Light by anticipating the angle Lucian will choose.']"
Amumu,Amumu,"['Tank', 'Mage']",32,"{'full': 'Amumu.png', 'sprite': 'champion0.png', 'group': 'champion', 'x': 192, 'y': 0, 'w': 48, 'h': 48}","Legend claims that Amumu is a lonely and melancholy soul from ancient Shurima, roaming the world in search of a friend. Doomed by an ancient curse to remain alone forever, his touch is death, his affection ruin. Those who claim to have seen him describe a living cadaver, small in stature and wrapped in creeping bandages. Amumu has inspired myths, songs, and folklore told and retold for generations—such that it is impossible to separate truth from fiction.","['Amumu is highly dependent on teammates, so try laning with your friends for maximum effectiveness.', ""Cooldown Reduction on Amumu is very strong, but it's often difficult to itemize for it. Grab the Golem buff whenever possible to gain Cooldown Reduction without sacrificing stats."", ""Despair is very effective against other tanks, so make sure you're in range of opponents with the highest Health.""]","['Avoid bunching up with other allies when Amumu has his ultimate available.', 'Erratic movement, or hiding behind creep waves can make it difficult for Amumu to instigate a fight with Bandage Toss.', ""Amumu's Despair makes purchasing primarily Health items a risky proposition.""]"
Kayle,Kayle,"['Fighter', 'Support']",10,"{'full': 'Kayle.png', 'sprite': 'champion1.png', 'group': 'champion', 'x': 192, 'y': 96, 'w': 48, 'h': 48}","Born to a Targonian Aspect at the height of the Rune Wars, Kayle honored her mother's legacy by fighting for justice on wings of divine flame. She and her twin sister Morgana were the protectors of Demacia for many years—until Kayle became disillusioned with the repeated failings of mortals, and abandoned this realm altogether. Still, legends are told of her punishing the unjust with her fiery swords, and many hope that she will one day return…","['Using Divine Judgment on a high-DPS ally can turn the tides of battle by giving your ally free reign to attack. ', ""Kayle's attacks become incredibly powerful once she gains attack range from Divine Ascent. Play safe until then. "", ""Kayle benefits greatly from Attack Damage and Ability Power, making hybrid items like Nashor's Tooth and Hextech Gunblade very effective on her.""]","[""Divine Judgment only grants Kayle or her allies immunity to damage. Slows and stuns can still be applied, so trap them if they're being overzealous."", 'Kayle is usually a fragile target. If you see her ultimate cast on an ally, switch to attacking her.', 'Kayle starts the game as a weaker melee champion. Try to put her behind before she ascends to her ranged form.']"
Draven,Draven,['Marksman'],119,"{'full': 'Draven.png', 'sprite': 'champion0.png', 'group': 'champion', 'x': 96, 'y': 96, 'w': 48, 'h': 48}","In Noxus, warriors known as Reckoners face one another in arenas where blood is spilled and strength tested—but none has ever been as celebrated as Draven. A former soldier, he found that the crowds uniquely appreciated his flair for the dramatic, and his unparalleled skill with his spinning axes. Addicted to the spectacle of his own brash perfection, Draven has sworn to defeat whomever he must to ensure that his name is chanted throughout the empire forever more.","[""If Draven doesn't move, Spinning Axe will fall near his present location. It will fall directly on him, or just to the right or left."", 'If Draven does move after attacking, Spinning Axe will lead him in the direction of his movement. Use this to control where the Spinning Axe will go.']","[""Launch skillshots toward the landing position of Draven's Spinning Axes."", 'Disrupt Draven with the goal of making him drop his axes. If you do, his power drops dramatically.']"
Jhin,Jhin,"['Marksman', 'Mage']",202,"{'full': 'Jhin.png', 'sprite': 'champion1.png', 'group': 'champion', 'x': 288, 'y': 48, 'w': 48, 'h': 48}","Jhin is a meticulous criminal psychopath who believes murder is art. Once an Ionian prisoner, but freed by shadowy elements within Ionia's ruling council, the serial killer now works as their cabal's assassin. Using his gun as his paintbrush, Jhin creates works of artistic brutality, horrifying victims and onlookers. He gains a cruel pleasure from putting on his gruesome theater, making him the ideal choice to send the most powerful of messages: terror.","['Deadly Flourish has incredible range. When approaching a fight be sure to look ahead for enemies that could be rooted.', 'Your ultimate deals significantly less damage to enemies with full health. Look to pick off weakened targets as they run away.', 'You can still cast your spells while reloading. Use them to fill the down time.']","[""Deadly Flourish only roots those hit by one of Jhin's basic attacks, traps, or allies within the last 4 seconds."", 'Jhin places invisible traps around the map. Watch where you step!', ""Jhin's attacks are quite potent, but he runs out of ammo after the 4th shot. Use this window to jump him and burst him down.""]"
MonkeyKing,MonkeyKing,"['Fighter', 'Tank']",62,"{'full': 'MonkeyKing.png', 'sprite': 'champion2.png', 'group': 'champion', 'x': 192, 'y': 48, 'w': 48, 'h': 48}","Wukong is a vastayan trickster who uses his strength, agility, and intelligence to confuse his opponents and gain the upper hand. After finding a lifelong friend in the warrior known as Master Yi, Wukong became the last student of the ancient martial art known as Wuju. Armed with an enchanted staff, Wukong seeks to prevent Ionia from falling to ruin.","['Decoy and Nimbus Strike work well together to quickly strike your enemy and get out before they can retaliate.', 'Try using Decoy near brush to make an enemy overreact to your movement.']","[""Wukong will often use Decoy after Nimbus Strike. Try delaying your abilities by a short amount of time to ensure that you're hitting the real Wukong."", 'Wukong becomes tougher to kill when surrounded by his enemies. Try to isolate him to gain an advantage.']"
Sivir,Sivir,['Marksman'],15,"{'full': 'Sivir.png', 'sprite': 'champion3.png', 'group': 'champion', 'x': 384, 'y': 48, 'w': 48, 'h': 48}","Sivir is a renowned fortune hunter and mercenary captain who plies her trade in the deserts of Shurima. Armed with her legendary jeweled crossblade, she has fought and won countless battles for those who can afford her exorbitant price. Known for her fearless resolve and endless ambition, she prides herself on recovering buried treasures from the perilous tombs of Shurima—for a generous bounty. With ancient forces stirring the very bones of Shurima, Sivir finds herself torn between conflicting destinies.","[""Sivir's Boomerang Blade returns to her after reaching the max range, so you can shift position to hit enemies who would otherwise have evaded it."", ""Ricochet resets Sivir's basic attack timer on activation, so activating this immediately after landing a normal basic attack will maximize damage output."", 'Try saving Spell Shield for enemy abilities that can disable you such as stuns and roots.']","['Boomerang Blade costs a lot of mana to cast, so dodging it sets Sivir back. If it hits you on the way out, avoid its path on the way back.', 'Sivir is a powerful pushing champion, so leaving her unattended in a lane for too long will often result in your turrets being destroyed.', 'When laning against Sivir, it is possible to throw off the timing of her Spell Shield by faking an advance, then backing off.']"
Zed,Zed,['Assassin'],238,"{'full': 'Zed.png', 'sprite': 'champion4.png', 'group': 'champion', 'x': 240, 'y': 96, 'w': 48, 'h': 48}","Utterly ruthless and without mercy, Zed is the leader of the Order of Shadow, an organization he created with the intent of militarizing Ionia's magical and martial traditions to drive out Noxian invaders. During the war, desperation led him to unlock the secret shadow form—a malevolent spirit magic as dangerous and corrupting as it is powerful. Zed has mastered all of these forbidden techniques to destroy anything he sees as a threat to his nation, or his new order.","[""Saving energy and spell cooldowns until you use your ultimate will maximize Death Mark's damage."", 'Quickly double tapping Living Shadow will teleport Zed to his shadow immediately for rapid escapes.', 'Placing a Living Shadow before using Death Mark can give Zed a safe escape from combat.']","['Zed receives bonus effect from Attack Damage items he purchases, so Armor is super effective against him.', 'After Zed uses his Living Shadow, he is at his most vulnerable as his damage, slow, and mobility are both dependent upon it.', ""Zed's Shadow Slash can only slow you if his shadow hits you with it. ""]"
Chogath,Chogath,"['Tank', 'Mage']",31,"{'full': 'Chogath.png', 'sprite': 'champion0.png', 'group': 'champion', 'x': 384, 'y': 48, 'w': 48, 'h': 48}","From the moment Cho'Gath first emerged into the harsh light of Runeterra's sun, the beast was driven by the most pure and insatiable hunger. A perfect expression of the Void's desire to consume all life, Cho'Gath's complex biology quickly converts matter into new bodily growth—increasing its muscle mass and density, or hardening its outer carapace like organic diamond. When growing larger does not suit the Void-spawn's needs, it vomits out the excess material as razor-sharp spines, leaving prey skewered and ready to feast upon later.","['Try to line up your attacks with Vorpal Spikes so that they kill minions and harass enemy champions at the same time.', ""If you're having difficulty feasting upon champions, try eating minions until you're larger."", 'Using Rupture on creeps in combination with Carnivore is a good way to gain Health and Mana.']","[""Purchasing a few HP items decreases the chances of Cho'Gath killing you quickly."", ""Focus on preventing Cho'Gath from reaching his max size."", ""Rupture has a smoke cloud indicating the area it will strike. Try to watch out for it to prevent Cho'Gath from being able to combo his abilities.""]"
Blitzcrank,Blitzcrank,"['Tank', 'Fighter']",53,"{'full': 'Blitzcrank.png', 'sprite': 'champion0.png', 'group': 'champion', 'x': 96, 'y': 48, 'w': 48, 'h': 48}","Blitzcrank is an enormous, near-indestructible automaton from Zaun, originally built to dispose of hazardous waste. However, he found this primary purpose too restricting, and modified his own form to better serve the fragile people of the Sump. Blitzcrank selflessly uses his strength and durability to protect others, extending a helpful metal fist or burst of energy to subdue any troublemakers.","['The 1-2-3 combo of Rocket Grab, Power Fist, and Static Field can devastate an individual opponent.', ""Using Blitzcrank's grab to pull an enemy into your tower range followed by a Power Fist will allow the tower to get several hits on them.""]","[""Blitzcrank's passive Mana Barrier grants him a shield when he is low on health."", ""Staying behind creeps can prevent you from being Rocket Grabbed. Blitzcrank's Rocket Grab only pulls the first enemy target it encounters.""]"
Ezreal,Ezreal,"['Marksman', 'Mage']",81,"{'full': 'Ezreal.png', 'sprite': 'champion0.png', 'group': 'champion', 'x': 336, 'y': 96, 'w': 48, 'h': 48}","A dashing adventurer, unknowingly gifted in the magical arts, Ezreal raids long-lost catacombs, tangles with ancient curses, and overcomes seemingly impossible odds with ease. His courage and bravado knowing no bounds, he prefers to improvise his way out of any situation, relying partially on his wits, but mostly on his mystical Shuriman gauntlet, which he uses to unleash devastating arcane blasts. One thing is for sure—whenever Ezreal is around, trouble isn't too far behind. Or ahead. Probably everywhere.","['Use Arcane Shift to help line up your other skill shots.', 'You can play Ezreal either as a Attack Damage carry or Ability Power carry depending on how you build him.', 'You can line up Trueshot Barrage to hit multiple minion waves or even Monsters.']","['Ezreal is a very fragile champion so take the fight to him.', 'Ezreal is completely skill shot based, so make sure to keep minions in between you.', 'Mystic Shot applies on-hit effects including the Crest of Cinders.']"
Lux,Lux,"['Mage', 'Support']",99,"{'full': 'Lux.png', 'sprite': 'champion2.png', 'group': 'champion', 'x': 384, 'y': 0, 'w': 48, 'h': 48}","Luxanna Crownguard hails from Demacia, an insular realm where magical abilities are viewed with fear and suspicion. Able to bend light to her will, she grew up dreading discovery and exile, and was forced to keep her power secret, in order to preserve her family's noble status. Nonetheless, Lux's optimism and resilience have led her to embrace her unique talents, and she now covertly wields them in service of her homeland.","[""Lux has great zone control abilities. Try to set up Lucent Singularity to prevent an enemy's advance or escape."", 'If you have trouble landing Prismatic Barrier, remember that it returns to you after it reaches max range. Try positioning yourself to hit your allies with its return trip.', 'Lucent Singularity is a great scouting tool. Try throwing it into brush before walking into it to check for ambushes.']","['Lux has powerful zone control abilities. Try to spread out and attack from different directions so she cannot lock down a specific area.', ""When retreating with low health, be prepared to dodge Lux's Final Spark, a red targeting beam fires prior to the main beam, so try to move to the side if possible.""]"
Khazix,Khazix,['Assassin'],121,"{'full': 'Khazix.png', 'sprite': 'champion1.png', 'group': 'champion', 'x': 336, 'y': 96, 'w': 48, 'h': 48}","The Void grows, and the Void adapts—in none of its myriad spawn are these truths more apparent than Kha'Zix. Evolution drives the core of this mutating horror, born to survive and to slay the strong. Where it struggles to do so, it grows new, more effective ways to counter and kill its prey. Initially a mindless beast, Kha'Zix's intelligence has developed as much as its form. Now, the creature plans out its hunts, and even utilizes the visceral terror it engenders in its victims.","['Enemies are considered isolated if they have no allies within a short distance. The damage of Taste Their Fear is massively increased against these targets.', ""Unseen Threat activates when Kha'Zix cannot be seen by the enemy team. Reactivate by using brush or Void Assault. Don't forget to apply Unseen Threat by autoattacking enemy champions."", ""Kha'Zix has a great deal of freedom to choose where and when to fight. Pick your battles carefully to succeed.""]","['Taste Their Fear deals bonus damage to targets that are isolated. Gain an advantage by fighting near allied minions, champions, or turrets.', ""Leap and Void Assault have long cooldowns. Kha'Zix is very vulnerable when these are not available.""]"
Udyr,Udyr,"['Fighter', 'Tank']",77,"{'full': 'Udyr.png', 'sprite': 'champion4.png', 'group': 'champion', 'x': 288, 'y': 0, 'w': 48, 'h': 48}","Udyr is more than a man; he is a vessel for the untamed power of four primal animal spirits. When tapping into the spirits' bestial natures, Udyr can harness their unique strengths: The tiger grants him speed and ferocity, the turtle resilience, the bear might, and the phoenix its eternal flame. With their combined power, Udyr can turn back all those who would attempt to harm the natural order.","['Damage is applied to turtle shield post-mitigation. Therefore, buying defensive items can drastically increase your survivability.', 'Udyr is one of the best junglers in the game. Taking advantage of this can give your team a large XP advantage and map control.']","['Udyr players will often start in the jungle and only appear to gank in lanes. Try warding key locations to keep track of his movement.', 'Once the initial shield effect has faded, Turtle Stance is weak against other champions. Press the attack to force him to switch stances and prevent him from regenerating health.', 'Some Udyr players buy tank items to become very durable. If they do, focus their weaker teammates instead.']"
Volibear,Volibear,"['Fighter', 'Tank']",106,"{'full': 'Volibear.png', 'sprite': 'champion4.png', 'group': 'champion', 'x': 240, 'y': 48, 'w': 48, 'h': 48}","To those who still revere him, the Volibear is the storm made manifest. Destructive, wild, and stubbornly resolute, he existed before mortals walked the Freljord's tundra, and is fiercely protective of the lands that he and his demi-god kin created. Cultivating a deep hatred of civilization and the weakness it brought with it, he now fights to return to the old ways—when the land was untamed, and blood spilled freely—and eagerly battles all who oppose him, with tooth, claw, and thundering domination.",[],[]
Nasus,Nasus,"['Fighter', 'Tank']",75,"{'full': 'Nasus.png', 'sprite': 'champion2.png', 'group': 'champion', 'x': 384, 'y': 48, 'w': 48, 'h': 48}","Nasus is an imposing, jackal-headed Ascended being from ancient Shurima, a heroic figure regarded as a demigod by the people of the desert. Fiercely intelligent, he was a guardian of knowledge and peerless strategist whose wisdom guided the ancient empire of Shurima to greatness for many centuries. After the fall of the empire, he went into self-imposed exile, becoming little more than a legend. Now that the ancient city of Shurima has risen once more, he has returned, determined to ensure it never falls again.","['Paying attention to last hitting with Siphoning Strike will have a large impact at the end of a game.', ""If you're solo, Spirit Fire is a great way to farm a lane. It can be bad if you're in a lane with 2 and you push too far. Find the right balance between Siphoning Strike last hits and AoE farming."", 'If you have low defenses, people will focus you down even during your ultimate. Try buying some survivability items even in your DPS builds.']","['While transformed by his ultimate, Nasus is stronger than most champions in the League. Engage him only if you have a clear advantage.', 'Max rank Wither is a very effective counter to Attack Damage characters, so try to avoid getting caught alone by it.', 'Nasus is prone to being kited. Try not to engage him at full Health.']"
Nami,Nami,"['Support', 'Mage']",267,"{'full': 'Nami.png', 'sprite': 'champion2.png', 'group': 'champion', 'x': 336, 'y': 48, 'w': 48, 'h': 48}","A headstrong young vastaya of the seas, Nami was the first of the Marai tribe to leave the waves and venture onto dry land, when their ancient accord with the Targonians was broken. With no other option, she took it upon herself to complete the sacred ritual that would ensure the safety of her people. Amidst the chaos of this new age, Nami faces an uncertain future with grit and determination, using her Tidecaller staff to summon the strength of the oceans themselves.","['Aqua Prison has a long cooldown, make sure to use it at the right moment.', 'Using Ebb and Flow during an engagement with enemy champions will help sway the battle in your favor.', ""Nami's ultimate can come in very handy for initiating on enemies who are far away.""]","['Aqua Prison is a very powerful ability with a long cooldown, take advantage of the situation if Nami misses this ability.', 'Tidal Wave has a very long range but travels slowly, be aware of when it is coming your way as you can move out of its path.', ""Try to avoid fighting an opponent affected by Tidecaller's Blessing, it lasts a short duration so waiting it out can help you greatly.""]"
Diana,Diana,"['Fighter', 'Mage']",131,"{'full': 'Diana.png', 'sprite': 'champion0.png', 'group': 'champion', 'x': 48, 'y': 96, 'w': 48, 'h': 48}","Bearing her crescent moonblade, Diana fights as a warrior of the Lunari—a faith all but quashed in the lands around Mount Targon. Clad in shimmering armor the color of winter snow at night, she is a living embodiment of the silver moon's power. Imbued with the essence of an Aspect from beyond Targon's towering summit, Diana is no longer wholly human, and struggles to understand her power and purpose in this world.","[""Landing Crescent Strike is critically important, but don't be afraid to miss. The cooldown is short and the mana cost is low."", 'Consider when to cast Lunar Rush without Moonlight and when to wait for another Crescent Strike.', 'Use Moonfall and Lunar Rush to stay on targets and activate Moonsilver Blade for extra damage.']","['Dodge Crescent Strike, or move to safety if you are affected by Moonlight.', 'Pale Cascade orbs only last a few seconds. Avoid Diana and engage her after the shield dissipates.', 'Diana can play very aggressively if she uses Lunar Rush without Moonlight, but you can punish her by slowing or stunning her when she has no way to get back into position.']"
Singed,Singed,"['Tank', 'Fighter']",27,"{'full': 'Singed.png', 'sprite': 'champion3.png', 'group': 'champion', 'x': 288, 'y': 48, 'w': 48, 'h': 48}","Singed is a Zaunite alchemist of unmatched intellect, who has devoted his life to pushing the boundaries of knowledge—with no price, even his own sanity, too high to pay. Is there a method to his madness? His concoctions rarely fail, but it appears to many that Singed has lost all sense of humanity, leaving a toxic trail of misery and terror in his wake.","[""Poison Trail is very effective at farming and harassing, allowing Singed to dominate the flow of whatever lane he's in."", 'Use Insanity Potion to trick your opponents into chasing you through your Poison Trail.', 'Flinging enemies into your tower can deal heavy amounts of damage to them.']","[""Keep your distance to avoid being Flung back into Singed's allies."", 'Singed needs to run close to your team to be effective. Try to take advantage of this by using crowd control effects on him while attacking his allies.', ""Be careful when chasing Singed. He's very difficult to bring down, and can leave his Poison Trail to damage you in your pursuit.""]"
Kassadin,Kassadin,"['Assassin', 'Mage']",38,"{'full': 'Kassadin.png', 'sprite': 'champion1.png', 'group': 'champion', 'x': 96, 'y': 96, 'w': 48, 'h': 48}","Cutting a burning swath through the darkest places of the world, Kassadin knows his days are numbered. A widely traveled Shuriman guide and adventurer, he had chosen to raise a family among the peaceful southern tribes—until the day his village was consumed by the Void. He vowed vengeance, combining a number of arcane artifacts and forbidden technologies for the struggle ahead. Finally, Kassadin set out for the wastelands of Icathia, ready to face any monstrous Void-construct in his search for their self-proclaimed prophet, Malzahar.","['Kassadin has multiple item paths; he can go caster via Mana and Ability Power or anti-caster with Cooldown Reduction and Magic Resist.', ""Kassadin's ultimate has many uses and is on a shorter cooldown than most, use it often."", ""Try to get the Ancient Golem buff to counteract Riftwalk's increasing Mana cost.""]","[""Kassadin deals mostly magic damage. If he's doing well consider buying magic resist items like Mercury's Treads and Banshee's Veil."", 'Each time Kassadin consecutively uses Riftwalk, he pays more and more mana. Keep this in mind as you chase him.', ""It takes 6 spell casts for Kassadin's slow, Force Pulse, to become castable. If he levels up that ability, judiciously use your own skills while laning against him.""]"
Caitlyn,Caitlyn,['Marksman'],51,"{'full': 'Caitlyn.png', 'sprite': 'champion0.png', 'group': 'champion', 'x': 240, 'y': 48, 'w': 48, 'h': 48}","Renowned as its finest peacekeeper, Caitlyn is also Piltover's best shot at ridding the city of its elusive criminal elements. She is often paired with Vi, acting as a cool counterpoint to her partner's more impetuous nature. Even though she carries a one-of-a-kind hextech rifle, Caitlyn's most powerful weapon is her superior intellect, allowing her to lay elaborate traps for any lawbreakers foolish enough to operate in the City of Progress.","[""Make use of her Yordle Snap Traps by placing them pre-emptively to ensure that you'll have one off of cooldown during combat."", 'Avoid using Ace in the Hole in large team melees as it might be blocked by the wrong target.', 'Fire 90 Caliber Net away from the opponent to close the gap or hop over walls.']","['Keep behind allied minions if Caitlyn is harassing you with Piltover Peacemaker (it deals less damage with each subsequent target).', ""You can intercept Ace in the Hole's missile from hitting an ally if you stand in its path.""]"
Yone,Yone,"['Assassin', 'Fighter']",777,"{'full': 'Yone.png', 'sprite': 'champion4.png', 'group': 'champion', 'x': 48, 'y': 96, 'w': 48, 'h': 48}","In life, he was Yone—half-brother of Yasuo, and renowned student of his village's sword school. But upon his death at the hands of his brother, he found himself hunted by a malevolent entity of the spirit realm, and was forced to slay it with its own sword. Now, cursed to wear its demonic mask upon his face, Yone tirelessly hunts all such creatures in order to understand what he has become.",[],[]
Annie,Annie,['Mage'],1,"{'full': 'Annie.png', 'sprite': 'champion0.png', 'group': 'champion', 'x': 288, 'y': 0, 'w': 48, 'h': 48}","Dangerous, yet disarmingly precocious, Annie is a child mage with immense pyromantic power. Even in the shadows of the mountains north of Noxus, she is a magical outlier. Her natural affinity for fire manifested early in life through unpredictable, emotional outbursts, though she eventually learned to control these “playful tricks.” Her favorite includes the summoning of her beloved teddy bear, Tibbers, as a fiery protector. Lost in the perpetual innocence of childhood, Annie wanders the dark forests, always looking for someone to play with.","['Storing a stun for use with her ultimate can turn the tide of a team fight.', 'Striking killing blows on minions with Disintegrate enables Annie to farm extremely well early in the game.', ""Molten Shield is a good spell to cast to work up to Annie's stun, so sometimes it's beneficial to grab at least 1 rank in it early.""]","[""Annie's summoned bear, Tibbers, burns opposing units around himself. Try to keep your distance from him after he's been summoned."", 'Summoner Smite can be used to help take down Tibbers.', ""Keep an eye out for a white, swirling power around Annie. It means she's ready to unleash her stun.""]"
TahmKench,TahmKench,"['Support', 'Tank']",223,"{'full': 'TahmKench.png', 'sprite': 'champion3.png', 'group': 'champion', 'x': 240, 'y': 96, 'w': 48, 'h': 48}","Known by many names throughout history, the demon Tahm Kench travels the waterways of Runeterra, feeding his insatiable appetite with the misery of others. Though he may appear singularly charming and proud, he swaggers through the physical realm like a vagabond in search of unsuspecting prey. His lashing tongue can stun even a heavily armored warrior from a dozen paces, and to fall into his rumbling belly is to tumble into an abyss from which there is little hope of return.","[""Your most important function as a support is to keep fragile allies safe. Keep Devour's range and cooldown in mind and position accordingly!"", ""Consider carefully when to use Thick Skin's active. Sometimes shielding early to avoid further damage is good, but sometimes the healing is more beneficial.""]","['When you see Tahm Kench use the shield from Thick Skin, remember that he just opted out of a good deal of healing. He will also not accumulate new gray health until Thick Skin comes off cooldown. Use this to your advantage!', ""If Tahm Kench harasses you by spitting minions at you, try going in for a trade right after he spits. His Devour will be on cooldown and you should be able to trade favourably if he can't eat you.""]"
Syndra,Syndra,"['Mage', 'Support']",134,"{'full': 'Syndra.png', 'sprite': 'champion3.png', 'group': 'champion', 'x': 192, 'y': 96, 'w': 48, 'h': 48}","Syndra is a fearsome Ionian mage with incredible power at her command. As a child, she disturbed the village elders with her reckless and wild magic. She was sent away to be taught greater control, but eventually discovered her supposed mentor was restraining her abilities. Forming her feelings of betrayal and hurt into dark spheres of energy, Syndra has sworn to destroy all who would try to control her.","[""To maximize your ultimate's damage use it when there are many spheres on the battlefield."", ""After you hit an enemy champion with Force of Will follow up with Dark Sphere, they'll be slowed and have a hard time avoiding it."", 'Get one of your spells to rank 5 as quickly as possible, they gain powerful bonus effects at max rank.']","[""Get boots early when playing against Syndra, they'll help you avoid many of her spells."", ""Attack Syndra after she's used Scatter the Weak, it has a long cooldown so she'll be vulnerable."", ""At max rank Syndra's spells gain bonus effects and change in appearance.""]"
Poppy,Poppy,"['Tank', 'Fighter']",78,"{'full': 'Poppy.png', 'sprite': 'champion2.png', 'group': 'champion', 'x': 384, 'y': 96, 'w': 48, 'h': 48}","Runeterra has no shortage of valiant champions, but few are as tenacious as Poppy. Bearing the legendary hammer of Orlon, a weapon twice her size, this determined yordle has spent untold years searching in secret for the fabled “Hero of Demacia,” said to be its rightful wielder. Until then, she dutifully charges into battle, pushing back the kingdom's enemies with every whirling strike.","['Iron Ambassador tends to land near walls, try to take advantage of this with Heroic Charge.', ""Keeper's Verdict can be released immediately to send the enemy straight up, take advantage of this in duels.""]","['Poppy can stop nearby enemies from dashing with Steadfast Presence.', ""When Poppy starts to spin her hammer, she is charging Keeper's Verdict."", ""You can step on Poppy's shield to deny it from her.""]"
Garen,Garen,"['Fighter', 'Tank']",86,"{'full': 'Garen.png', 'sprite': 'champion1.png', 'group': 'champion', 'x': 144, 'y': 0, 'w': 48, 'h': 48}","A proud and noble warrior, Garen fights as one of the Dauntless Vanguard. He is popular among his fellows, and respected well enough by his enemies—not least as a scion of the prestigious Crownguard family, entrusted with defending Demacia and its ideals. Clad in magic-resistant armor and bearing a mighty broadsword, Garen stands ready to confront mages and sorcerers on the field of battle, in a veritable whirlwind of righteous steel.","[""Garen's regeneration greatly increases if he can avoid receiving damage for several seconds."", 'Judgment deals maximum damage when only hitting a single target. For effective trading, try to position such that only the enemy champion is hit.', 'Garen is only constrained by cooldowns, making items such as Black Cleaver very effective for him.']","['Stack armor items to lower the large amount of physical damage that Garen deals out.', 'Try to run away from Garen as your health gets lower, as he can execute you quickly with Demacian Justice.', 'Be careful about attacking Garen in brush. It often will lead to taking full damage from Judgment.', ""Judgment deals maximum damage when only hitting a single target. If getting out of its radius isn't possible, move through allied minions to reduce damage taken.""]"
XinZhao,XinZhao,"['Fighter', 'Assassin']",5,"{'full': 'XinZhao.png', 'sprite': 'champion4.png', 'group': 'champion', 'x': 432, 'y': 48, 'w': 48, 'h': 48}","Xin Zhao is a resolute warrior loyal to the ruling Lightshield dynasty. Once condemned to the fighting pits of Noxus, he survived countless gladiatorial bouts, but after being freed by Demacian forces, he swore his life and allegiance to these brave liberators. Armed with his favored three-talon spear, Xin Zhao now fights for his adopted kingdom, audaciously challenging any foe, no matter the odds.","['Xin Zhao is a great initiator to combat. Lead the front to start a fight and use your ultimate to do the most damage possible.', ""Try to position yourself so your ultimate's knockback is most effective.""]","[""Xin Zhao is a powerful initiator with both his charge and ultimate dealing damage to all units around him. Try having your team stay spread out until he's used his ultimate."", 'Xin Zhao relies heavily on his Three Talon Strikes for damage and cooldown resets, so preventing him from finishing his combo will have a dramatic effect.']"
Twitch,Twitch,"['Marksman', 'Assassin']",29,"{'full': 'Twitch.png', 'sprite': 'champion4.png', 'group': 'champion', 'x': 240, 'y': 0, 'w': 48, 'h': 48}","A Zaunite plague rat by birth, but a connoisseur of filth by passion, Twitch is not afraid to get his paws dirty. Aiming a chem-powered crossbow at the gilded heart of Piltover, he has vowed to show those in the city above just how filthy they really are. Always a sneaky sneak, when he's not rooting around in the Sump, he's digging deep into other people's garbage for discarded treasures… and perhaps a moldy sandwich.","[""Twitch's Attack Speed is among the highest in the game; try purchasing items with on-hit effects such as Black Cleaver or Wit's End."", 'Contaminate has a large range; apply as many stacks of Deadly Venom as possible before using it.', 'You can catch up to an enemy out of attack range with Venom Cask.']","[""Twitch is fragile. Work with teammates to focus on him when you're able to catch him out of Camouflage."", ""Spell Shields won't block the damage from Deadly Venom, but they will block the effects Twitch can trigger with it."", ""If you suspect Twitch has left the lane, let your teammates know that Twitch is ''MIA.''""]"
